"video_id","title","published_date","duration","views","likes","comments","episode_type","guest_name","genre","video_link"
196,"Effects of Fasting & Time Restricted Eating on Fat Loss & Health | Huberman Lab Podcast #41","2021-10-11","02:26:07",6742766,117150,5768,"Solo Episode","Dr. Andrew Huberman","Nutrition","https://youtu.be/9tRohh0gErM"
197,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health","2021-10-04","01:51:36",256038,6986,873,"Guest Episode","Dr. Craig Heller","Neurobiology & Physiology | Heat & Cold Exposure","https://youtu.be/77CdVSpnUX4"
198,"Controlling Your Dopamine For Motivation, Focus & Satisfaction","2021-09-27","02:16:32",10108589,275342,9590,"Solo Episode","Dr. Andrew Huberman","ADHD, Drive & Motivation | Focus, Productivity & Creativity","https://youtu.be/QmOF0crdyRU"
199,"Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders","2021-09-20","02:52:05",556238,12036,1302,"Guest Episode","Dr. Matthew Johnson","Neuroplasticity, Habits & Goals | Mental Health & Addiction","https://youtu.be/GzvzWO0NU50"
200,"ADHD & How Anyone Can Improve Their Focus","2021-09-13","02:18:01",6110750,138599,10917,"Solo Episode","Dr. Andrew Huberman","ADHD, Drive & Motivation | Focus, Productivity & Creativity","https://youtu.be/hFL6qRIJZ_Y"
201,"Healthy Eating & Eating Disorders - Anorexia, Bulimia, Binging","2021-09-06","02:16:19",494560,12337,1037,"Solo Episode","Dr. Andrew Huberman","Mental Health & Addiction","https://youtu.be/2XGREPnlI8U"
202,"Dr. Robert Sapolsky: Science of Stress, Testosterone & Free Will","2021-08-30","01:29:50",1537248,43651,3132,"Guest Episode","Dr. Robert Sapolsky","The Science of Well-being | Hormone Health | Neurobiology & Physiology","https://youtu.be/DtmwtjOoSYU"
203,"Understanding & Conquering Depression","2021-08-23","02:02:03",1834407,42417,3372,"Solo Episode","Dr. Andrew Huberman","Mental Health & Addiction","https://youtu.be/Xu1FMCxoEFc"
204,"Dr. Anna Lembke: Understanding & Treating Addiction","2021-08-16","02:02:32",2384532,63327,4867,"Guest Episode","Dr. Anna Lembke","Mental Health & Addiction","https://youtu.be/p3JLaF_4Tz8"
205,"How to Control Your Sense of Pain & Pleasure","2021-08-09","02:16:12",272311,7454,735,"Solo Episode","Dr. Andrew Huberman","Neurobiology & Physiology","https://youtu.be/xmhsWAqP_0Y"
206,"Dr. Matt Walker: The Science & Practice of Perfecting Your Sleep","2021-08-02","03:06:06",2809826,53675,2927,"Guest Episode","Dr. Matt Walker","Sleep","https://youtu.be/gbQFSMayJxk"
207,"How to Optimize Your Brain-Body Function & Health","2021-07-26","01:52:44",359046,10491,1198,"Solo Episode","Dr. Andrew Huberman","Neurobiology & Physiology | Gut Health","https://youtu.be/rW9QKc-iFoY"
208,"Dr. Lex Fridman: Machines, Creativity & Love","2021-07-19","03:03:19",1990520,17260,1998,"Guest Episode","Dr. Lex Fridman","Focus, Productivity & Creativity | Emotions & Relationships","https://youtu.be/VRvn3Oj5r3E"
209,"Maximizing Productivity, Physical & Mental Health with Daily Tools","2021-07-12","02:07:01",718874,20870,1417,"Solo Episode","Dr. Andrew Huberman","Focus, Productivity & Creativity | Mental Health & Addiction","https://youtu.be/aXvDEmo6uS4"
210,"The Science of Hearing, Balance & Accelerated Learning","2021-07-05","02:03:37",259646,7192,910,"Solo Episode","Dr. Andrew Huberman","Learning & Memory | Neurobiology & Physiology","https://youtu.be/JVRyzYB9JSY"
211,"Dr. Karl Deisseroth: Understanding & Healing the Mind","2021-06-28","02:02:06",434824,12388,1017,"Guest Episode","Dr. Karl Deisseroth","Neurobiology & Physiology | Emotions & Relationships | Neuroplasticity, Habits & Goals | Mental Health & Addiction","https://youtu.be/w9MXqXBZy9U"
212,"How Smell, Taste & Pheromone-Like Chemicals Control You","2021-06-21","01:59:41",227468,6091,763,"Solo Episode","Dr. Andrew Huberman","Neurobiology & Physiology","https://youtu.be/Mwz8JprPeMc"
213,"The Science of Vision, Eye Health & Seeing Better","2021-06-14","01:49:38",1661271,44977,3291,"Solo Episode","Dr. Andrew Huberman","Neurobiology & Physiology","https://youtu.be/ObtW353d5i0"
214,"How to Build Endurance in Your Brain & Body","2021-06-07","02:05:30",1358967,27147,1428,"Solo Episode","Dr. Andrew Huberman","Neuroplasticity, Habits & Goals | Fitness & Recovery","https://youtu.be/VQLU7gpk_X8"
215,"Science of Muscle Growth, Increasing Strength & Muscular Recovery","2021-05-31","02:04:20",5704117,112282,3927,"Solo Episode","Dr. Andrew Huberman","Fitness & Recovery","https://youtu.be/XLr2RKoD-oY"
216,"How to Lose Fat with Science-Based Tools","2021-05-24","01:53:54",5132370,109747,5022,"Solo Episode","Dr. Andrew Huberman","Nutrition","https://youtu.be/GqPGXG5TlZw"
217,"How to Learn Skills Faster | Huberman Lab Podcast","2021-05-17","01:52:15",1286141,36400,1815,"Solo Episode","Dr. Andrew Huberman","Learning & Memory","https://youtu.be/xJ0IBzCjEPk"
